name
ASRock Arc B570 10GB Challenger
ASRock Arc B580 12GB Steel Legend
ASRock Radeon RX 7800 XT 16GB Challenger
ASUS ROG STRIX GeForce GTX 1050 2GB GAMING OC
ASUS ROG STRIX GeForce GTX 1050 Ti 4GB GAMING OC
ASUS Turbo GeForce GTX 1070 8GB
ASUS Turbo GeForce GTX 1070 Ti 8GB
ASUS Dual GeForce RTX 3050 6GB
ASUS Dual GeForce RTX 3060 12GB V2
ASUS Dual GeForce RTX 4060 8GB
ASUS Dual GeForce RTX 4060 8GB V2
ASUS Dual GeForce RTX 4060 Ti 16GB
ASUS Dual GeForce RTX 4070 12GB OC
ASUS Dual GeForce RTX 5050 8GB
ASUS Dual GeForce RTX 5060 8GB
ASUS Dual GeForce RTX 5060 Ti 16GB
ASUS Dual GeForce RTX 5070 12GB
ASUS ROG STRIX GeForce RTX 2060 SUPER 8GB EVO GAMING
ASUS ROG STRIX GeForce RTX 4080 16GB
ASUS ROG STRIX GeForce RTX 4090 24GB GAMING
ASUS GeForce RTX 5060 8GB LP BRK
ASUS ROG STRIX GeForce RTX 5070 12GB
ASUS ROG Astral GeForce RTX 5080 16GB
ASUS ROG Astral GeForce RTX 5090 32GB
ASUS Prime GeForce RTX 5050 8GB
ASUS Prime GeForce RTX 5070 12GB
ASUS Prime GeForce RTX 5070 Ti 16GB
ASUS Prime GeForce RTX 5080 16GB
ASUS TUF Gaming GeForce GTX 1660 SUPER 6GB
ASUS TUF Gaming GeForce RTX 3070 8GB V2
ASUS TUF Gaming GeForce RTX 3070 Ti 8GB
ASUS TUF Gaming GeForce RTX 4090 24GB
ASUS TUF Gaming GeForce RTX 5060 8GB
ASUS TUF Gaming GeForce RTX 5070 12GB
ASUS TUF Gaming GeForce RTX 5080 16GB
AXLE GeForce GT 610 2GB
AXLE GeForce GT 730 4GB
AXLE Radeon RX 580 8GB
Arktek GeForce GT 610 2GB
Arktek GeForce GT 730 2GB
Arktek GeForce GT 730 4GB
Arktek GeForce GTX 1660 Ti 6GB
EVGA GeForce GTX 1060 3GB GAMING
Gigabyte GeForce GT 710 2GB
Gigabyte GeForce GTX 1650 4GB ITX OC
Gigabyte GeForce GTX 1660 6GB OC
Gigabyte GeForce GTX 1660 SUPER 6GB OC
Gigabyte GeForce GTX 1660 Ti 6GB OC
Gigabyte GeForce RTX 2060 SUPER 8GB WINDFORCE OC
Gigabyte GeForce RTX 3050 6GB EAGLE
Gigabyte GeForce RTX 3050 6GB EAGLE OC
Gigabyte GeForce RTX 3050 6GB OC
Gigabyte GeForce RTX 3050 8GB EAGLE
Gigabyte GeForce RTX 3060 12GB
Gigabyte GeForce RTX 3060 12GB EAGLE OC
Gigabyte GeForce RTX 3060 12GB OC
Gigabyte GeForce RTX 3060 12GB WINDFORCE OC
Gigabyte GeForce RTX 3080 Ti 12GB VISION OC
Gigabyte GeForce RTX 4060 8GB
Gigabyte GeForce RTX 4060 8GB Aero 3X OC
Gigabyte GeForce RTX 4060 8GB EAGLE ICE OC
Gigabyte GeForce RTX 4060 8GB EAGLE OC
Gigabyte GeForce RTX 4060 8GB GAMING OC
Gigabyte GeForce RTX 4060 8GB OC
Gigabyte GeForce RTX 4060 8GB WINDFORCE OC
Gigabyte GeForce RTX 4060 Ti 16GB Aero OC
Gigabyte GeForce RTX 4060 Ti 16GB GAMING OC
Gigabyte GeForce RTX 4060 Ti 16GB WINDFORCE OC
Gigabyte GeForce RTX 4060 Ti 8GB WINDFORCE OC
Gigabyte GeForce RTX 4070 12GB Aero V2 OC
Gigabyte GeForce RTX 4070 12GB GAMING OC
Gigabyte GeForce RTX 4070 12GB WINDFORCE 3X
Gigabyte GeForce RTX 4070 12GB WINDFORCE OC
Gigabyte GeForce RTX 4070 SUPER 12GB EAGLE OC
Gigabyte GeForce RTX 4070 SUPER 12GB WINDFORCE OC
Gigabyte GeForce RTX 4070 Ti 12GB GAMING
Gigabyte GeForce RTX 4070 Ti 12GB GAMING OC
Gigabyte GeForce RTX 4070 Ti SUPER 16GB
Gigabyte GeForce RTX 4070 Ti SUPER 16GB EAGLE OC
Gigabyte GeForce RTX 4070 Ti SUPER 16GB GAMING OC
