name,core_count,thread_count,base_clock,boost_clock,tdp,l1_cache,l2_cache,l3_cache,socket,memory_support,integrated_gpu
AMD Ryzen 9 7900X3D,12,24,4.4,5.6,120,768,12,128,AMD Socket AM5,DDR5,Radeon Graphics
AMD Ryzen 9 7950X,16,32,4.5,5.7,170,1024,16,64,AMD Socket AM5,DDR5,Radeon Graphics
AMD Ryzen 9 7950X3D,16,32,4.2,5.7,120,1024,16,128,AMD Socket AM5,DDR5,Radeon Graphics
AMD Ryzen 9 9900X,12,24,4.4,5.6,120,960,12,64,AMD Socket AM5,DDR5,Radeon Graphics
AMD Ryzen 9 9900X3D,12,24,4.4,5.5,120,960,12,128,AMD Socket AM5,DDR5,Radeon Graphics
AMD Ryzen 9 9950X,16,32,4.3,5.7,170,1280,16,64,AMD Socket AM5,DDR5,Radeon Graphics
AMD Ryzen 9 9950X3D,16,32,4.3,5.7,170,1280,16,128,AMD Socket AM5,DDR5,Radeon Graphics
AMD Ryzen AI 5 330,,,,,,,,,,,Radeon 820M
AMD Ryzen AI 5 340,,,,,,,,,,,Radeon 840M
AMD Ryzen AI 7 350,,,,,,,,,,,Radeon 860M
AMD Ryzen AI 9 365,,,,,,,,,,,Radeon 880M
AMD Ryzen AI 9 HX 370,,,,,,,,,,,Radeon 890M
AMD Ryzen AI MAX 390,,,,,,,,,,,Radeon 8050S
AMD Ryzen AI MAX+ 395,,,,,,,,,,,Radeon 8060S
AMD Ryzen Threadripper 2950X,16,32,3.5,4.4,180,1536,8,32,AMD Socket SP3r2,DDR4,
,,,,,,,,,,,
Intel Core i3-10100,4,8,3.6,4.3,65,256,1,6,Intel Socket 1200,DDR4,UHD Graphics 630
Intel Core i3-10100F,4,8,3.6,4.3,65,256,1,6,Intel Socket 1200,DDR4,
Intel Core i3-10105,4,8,3.7,4.4,65,256,1,6,Intel Socket 1200,DDR4,UHD Graphics 630
Intel Core i3-10105F,4,8,3.7,4.4,65,256,1,6,Intel Socket 1200,DDR4,
Intel Core i3-10320,4,8,3.8,4.6,91,256,1,8,Intel Socket 1200,DDR4,UHD Graphics 630
Intel Core i3-12100,4,8,3.3,4.3,60,320,5,12,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 730
Intel Core i3-12100F,4,8,3.3,4.3,58,320,5,12,Intel Socket 1700,"DDR4, DDR5",
Intel Core i3-12300,,,,,,,,,,,
Intel Core i3-13100,,,,,,,,,,,
Intel Core i3-13100F,4,8,3.4,4.5,58,320,5,12,Intel Socket 1700,"DDR4, DDR5",
Intel Core i3-14100,4,8,3.5,4.7,58,320,5,12,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 730
Intel Core i3-14100F,4,8,3.5,4.7,58,320,5,12,Intel Socket 1700,"DDR4, DDR5",
Intel Core i5-10400,6,12,2.9,4.3,65,384,1.5,12,Intel Socket 1200,DDR4,UHD Graphics 630
Intel Core i5-10400F,6,12,2.9,4.3,65,384,1.5,12,Intel Socket 1200,DDR4,
Intel Core i5-10500,6,12,3.1,4.5,65,384,1.5,12,Intel Socket 1200,DDR4,UHD Graphics 630
Intel Core i5-10600,,,,,,,,,,,
Intel Core i5-10600K,6,12,4.1,4.8,125,384,1.5,12,Intel Socket 1200,DDR4,UHD Graphics 630
Intel Core i5-10600KF,6,12,4.1,4.8,95,384,1.5,12,Intel Socket 1200,DDR4,
Intel Core i5-11400,6,12,2.6,4.4,65,480,3,12,Intel Socket 1200,DDR4,UHD Graphics 730
Intel Core i5-11400F,6,12,2.6,4.4,65,480,3,12,Intel Socket 1200,DDR4,
Intel Core i5-11500,6,12,2.7,4.6,65,480,3,12,Intel Socket 1200,DDR4,UHD Graphics 750
Intel Core i5-11600,,,,,,,,,,,
Intel Core i5-11600K,6,12,3.9,4.9,125,480,3,12,Intel Socket 1200,DDR4,UHD Graphics 750
Intel Core i5-12100,,,,,,,,,,,
Intel Core i5-12100F,,,,,,,,,,,
Intel Core i5-12100T,,,,,,,,,,,
Intel Core i5-12400,6,12,2.5,4.4,65,480,7.5,18,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 730
Intel Core i5-12400F,6,12,2.5,4.4,65,480,7.5,18,Intel Socket 1700,"DDR4, DDR5",
Intel Core i5-12500,6,12,3,4.6,65,480,7.5,18,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i5-12600,,,,,,,,,,,
Intel Core i5-12600K,10,16,3.7,4.9,125,800,12.5,20,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i5-12600KF,10,16,3.7,4.9,125,800,12.5,20,Intel Socket 1700,"DDR4, DDR5",
Intel Core i5-13400,10,16,2.5,4.6,65,800,12.5,20,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 730
Intel Core i5-13400F,10,16,2.5,4.6,65,800,12.5,20,Intel Socket 1700,"DDR4, DDR5",
Intel Core i5-13420,,,,,,,,,,,
Intel Core i5-13500,14,20,2.5,4.8,65,1120,17.5,24,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
