name,memory_size,transistors,bus_interface,base_clock,boost_clock,memory_type,memory_bus,memory_bandwidth,cores,tensor_cores,rt_cores,t_flops,tdp
GeForce RTX 3090 Ti,24,28.3,PCIe 4.0 x16,1560,1860,GDDR6X,384,1010,10752,336,84,40.000,450
GeForce RTX 4050,6,18.9,PCIe 4.0 x8,1455,1755,GDDR6,96,192,2560,80,20,8.986,50
GeForce RTX 4060,8,18.9,PCIe 4.0 x8,1830,2460,GDDR6,128,272,3072,96,24,15.110,115
GeForce RTX 4060 Ti,8,22.9,PCIe 4.0 x8,2310,2535,GDDR6,128,288,4352,136,34,22.060,160
GeForce RTX 4060 Ti,16,22.9,PCIe 4.0 x8,2310,2535,GDDR6,128,288,4352,136,34,22.060,165
GeForce RTX 4070,12,35.8,PCIe 4.0 x16,1920,2475,GDDR6,192,480,5888,184,46,29.150,200
GeForce RTX 4070 SUPER,12,35.8,PCIe 4.0 x16,1980,2475,GDDR6X,192,504.2,7168,224,56,35.480,220
GeForce RTX 4070 Ti,12,35.8,PCIe 4.0 x16,2310,2610,GDDR6X,192,504.2,7680,240,60,40.090,285
GeForce RTX 4070 Ti SUPER,16,45.9,PCIe 4.0 x16,2340,2610,GDDR6X,256,672.3,8448,264,66,44.100,285
GeForce RTX 4080,16,45.9,PCIe 4.0 x16,2205,2505,GDDR6X,256,716.8,9728,304,76,48.740,320
GeForce RTX 4080 SUPER,16,45.9,PCIe 4.0 x16,2295,2550,GDDR6X,256,736.3,10240,320,80,52.220,320
GeForce RTX 4090,24,76.3,PCIe 4.0 x16,2235,2520,GDDR6X,384,1010,16384,512,128,82.580,450
GeForce RTX 5050,8,16.9,PCIe 5.0 x8,2317,2572,GDDR6,128,320,2560,80,20,13.170,130
GeForce RTX 5060,8,21.9,PCIe 5.0 x8,2280,2497,GDDR7,128,448,3840,120,30,19.180,145
GeForce RTX 5060 Ti,8,21.9,PCIe 5.0 x8,2407,2572,GDDR7,128,448,4608,144,36,23.700,180
GeForce RTX 5060 Ti,16,21.9,PCIe 5.0 x8,2407,2572,GDDR7,128,448,4608,144,36,23.700,180
GeForce RTX 5070,12,31.1,PCIe 5.0 x16,2325,2512,GDDR7,192,672,6144,192,48,30.870,250
GeForce RTX 5070 SUPER,18,31.1,PCIe 5.0 x16,2325,2497,GDDR7,192,672,6400,200,50,31.960,275
GeForce RTX 5070 Ti,16,45.6,PCIe 5.0 x16,2295,2452,GDDR7,256,896,8960,280,70,43.940,300
GeForce RTX 5070 Ti SUPER,16,45.6,PCIe 5.0 x16,2295,2452,GDDR7,256,896,8960,280,70,43.940,350
GeForce RTX 5080,16,45.6,PCIe 5.0 x16,2295,2617,GDDR7,256,960,10752,336,84,56.280,360
GeForce RTX 5080 SUPER,24,45.6,PCIe 5.0 x16,2295,2617,GDDR7,256,1020,10752,336,84,56.280,415
GeForce RTX 5090,32,92.2,PCIe 5.0 x16,2017,2407,GDDR7,512,1790,21760,680,170,104.800,575
,,,,,,,,,,,,,
Radeon Vega 6,,4.9,,300,1101,,,,384,0,0,0.845,15
Radeon Vega 8,,4.9,,300,1250,,,,512,0,0,1.280,15
Radeon Vega 11,,4.9,,300,1400,,,,704,0,0,1.971,15
Radeon Vega 7,,9.8,,300,1900,,,,448,0,0,1.702,45
,,,,,,,,,,,,,
Radeon RX 580,8,5.7,PCIe 3.0 x16,1257,1340,GDDR5,256,256,2304,0,0,6.175,185
Radeon RX 6500 XT,4,5.4,PCIe 4.0 x4,2310,2815,GDDR6,64,143.9,1024,0,16,5.765,107
Radeon RX 6600,8,11.1,PCIe 4.0 x8,1626,2491,GDDR6,128,224,1792,0,28,8.928,132
Radeon RX 6600 XT,8,11.1,PCIe 4.0 x8,1968,2589,GDDR6,128,256,2048,0,32,10.600,160
Radeon RX 6650 XT,8,11.1,PCIe 4.0 x8,2055,2635,GDDR6,128,280.3,2048,0,32,10.790,176
Radeon RX 6700,10,17.2,PCIe 4.0 x16,1941,2450,GDDR6,160,320,2304,0,36,11.290,175
Radeon RX 6700 XT,12,17.2,PCIe 4.0 x16,2321,2581,GDDR6,192,384,2560,0,40,13.210,230
Radeon RX 6750 XT,12,17.2,PCIe 4.0 x16,2150,2600,GDDR6,192,432,2560,0,40,13.310,250
Radeon RX 6800,16,26.8,PCIe 4.0 x16,1700,2105,GDDR6,256,512,3840,0,60,16.170,250
Radeon RX 6800 XT,16,26.8,PCIe 4.0 x16,1825,2250,GDDR6,256,512,4608,0,72,20.740,300
Radeon RX 6850M XT,12,17.2,PCIe 4.0 x16,2321,2581,GDDR6,192,432,2560,0,40,13.210,165
Radeon RX 6900 XT,16,26.8,PCIe 4.0 x16,1825,2250,GDDR6,256,512,5120,0,80,23.040,300
Radeon RX 6950 XT,16,26.8,PCIe 4.0 x16,1860,2310,GDDR6,256,576,5120,0,80,23.650,335
Radeon RX 7600,8,13.3,PCIe 4.0 x8,1720,2655,GDDR6,128,288,2048,64,32,21.750,165
Radeon RX 7600 XT,16,13.3,PCIe 4.0 x8,1980,2755,GDDR6,128,288,2048,64,32,22.570,190
Radeon RX 7700,16,28.1,PCIe 4.0 x16,1900,2600,GDDR6,256,622.1,2560,80,40,26.620,200
Radeon RX 7700 XT,12,28.1,PCIe 4.0 x16,1435,2544,GDDR6,192,432,3456,108,54,35.170,245
Radeon RX 7800 XT,16,28.1,PCIe 4.0 x16,1295,2430,GDDR6,256,624,3840,120,60,37.320,263
Radeon RX 7900 XT,20,57.7,PCIe 4.0 x16,1387,2394,GDDR6,320,800,5376,168,84,51.480,300
Radeon RX 7900 XTX,24,57.7,PCIe 4.0 x16,1929,2498,GDDR6,384,960,6144,192,96,61.390,355
Radeon RX 9060,8,29.7,PCIe 5.0 x16,1700,2990,GDDR6,128,288,1792,56,28,21.430,132
Radeon RX 9060 XT,8,29.7,PCIe 5.0 x16,1700,3130,GDDR6,128,322,2048,64,32,25.640,150
Radeon RX 9060 XT,16,29.7,PCIe 5.0 x16,1700,3130,GDDR6,128,322,2048,64,32,25.640,160
Radeon RX 9060 XT LP,16,29.7,PCIe 5.0 x16,1380,3050,GDDR6,128,322.3,2048,64,32,24.990,140
Radeon RX 9070,16,53.9,PCIe 5.0 x16,1330,2520,GDDR6,256,644.6,3584,112,56,36.130,220
Radeon RX 9070 XT,16,53.9,PCIe 5.0 x16,1660,2970,GDDR6,256,644.6,4096,128,64,48.660,304
,,,,,,,,,,,,,
Qualcomm Adreno,,,,,,,,,,,,,
,,,,,,,,,,,,,
Intel Iris,,,,,,,,,,,,,
Intel Iris Plus,,,,,,,,,,,,,
Intel Iris Plus Graphics 645,,,,,,,,,,,,,
Intel Iris Plus Graphics 655,,,,,,,,,,,,,
Intel Iris Pro,,,,,,,,,,,,,
Intel Iris Xe,,,,,,,,,,,,,
,,,,,,,,,,,,,
Intel Arc 130V,,,,,,,,,,,,,
Intel Arc 140V,,,,,,,,,,,,,
Intel Arc 130T,,,,,,,,,,,,,
Intel Arc 140T,,,,,,,,,,,,,
Intel Arc A370M,4,,,,,,,,,,,,
,,,,,,,,,,,,,
Intel HD Graphics 510,,,,,,,,,,,,,
Intel HD Graphics 530,,,,,,,,,,,,,
Intel HD Graphics 620,,,,,,,,,,,,,
Intel HD Graphics 630,,,,,,,,,,,,,
Intel HD Graphics 2000,,,,,,,,,,,,,
Intel HD Graphics 3000,,,,,,,,,,,,,
Intel HD Graphics 4000,,,,,,,,,,,,,
Intel HD Graphics 4400,,,,,,,,,,,,,
Intel HD Graphics 4600,,,,,,,,,,,,,
Intel HD Graphics 5000,,,,,,,,,,,,,
Intel UHD Graphics 610,,,,,,,,,,,,,
Intel UHD Graphics 630,,,,,,,,,,,,,
Intel UHD Graphics 710,,,,,,,,,,,,,
Intel UHD Graphics 730,,,,,,,,,,,,,
Intel UHD Graphics 750,,,,,,,,,,,,,
Intel UHD Graphics 770,,,,,,,,,,,,,
,,,,,,,,,,,,,
GeForce MX110,2,,,,,,,,,,,,
GeForce MX130,2,,,,,,,,,,,,
GeForce MX150,2,,,,,,,,,,,,
GeForce MX150,4,,,,,,,,,,,,
GeForce MX230,2,,,,,,,,,,,,
GeForce MX330,2,,,,,,,,,,,,
GeForce MX350,2,,,,,,,,,,,,
GeForce MX450,2,,,,,,,,,,,,
GeForce MX550,2,,,,,,,,,,,,
GeForce MX570,2,,,,,,,,,,,,
GeForce MX570A,2,,,,,,,,,,,,
GeForce 920M,2,,,,,,,,,,,,
GeForce 920MX,2,,,,,,,,,,,,
GeForce 940MX,2,,,,,,,,,,,,
,,,,,,,,,,,,,
NVIDIA Quadro,0,,,,,,,,,,,,
NVIDIA Quadro P400,2,,,,,,,,,,,,
NVIDIA Quadro P600,2,,,,,,,,,,,,
NVIDIA Quadro P620,2,,,,,,,,,,,,
NVIDIA Quadro P1000,4,,,,,,,,,,,,
