name
ACER E10
ASUS ExpertBook B3
ASUS Gaming K16
ASUS ROG Flow Z13
ASUS ROG Strix
ASUS ROG Strix G15
ASUS ROG Strix G16
ASUS ROG Strix G17
ASUS ROG Strix G18
ASUS ROG Strix SCAR 15
ASUS ROG Strix SCAR 18
ASUS ROG Zephyrus
ASUS ROG Zephyrus G14
ASUS ROG Zephyrus G15
ASUS ROG Zephyrus G16
ASUS ROG Zephyrus M16
ASUS TUF
ASUS TUF A14
ASUS TUF A17
ASUS TUF Dash
ASUS TUF Gaming A15
Asus TUF Gaming A16
ASUS TUF Gaming F15
ASUS TUF Gaming F16
ASUS TUF Gaming F17
ASUS V16
ASUS Vivobook 16X
ASUS VivoBook Pro 15 OLED
ASUS ZenBook Pro 14 Duo OLED
Dell 3500 G3
Dell Alienware 16 Aurora
Dell G15
Dell G15 5510
Dell G15 5511
Dell G15 5520
Dell G15 5530
Dell G15 5535
Dell VOSTRO 16 5630
Gigabyte A16
Gigabyte AERO 14
Gigabyte AERO 14 BMF
Gigabyte AERO 16
Gigabyte AERO 17
Gigabyte AERO X16
Gigabyte Aorus 15
Gigabyte Aorus 16X
Gigabyte Aorus Master 16
Gigabyte Aorus Master 18
Gigabyte G5
Gigabyte G5 KF
Gigabyte G5 KF5
Gigabyte G5 MD
Gigabyte G5 MF
Gigabyte G6
Gigabyte G6 KF
Gigabyte G6 MF
Gigabyte G6 KF
Gigabyte G7
Gigabyte G7 KF
HP EliteBook 840
HP OMEN
HP OMEN CE011NK
HP OMEN MAX 16
HP Victus 15
HP Victus 16
Lenovo IdeaPad Gaming 3
Lenovo Legion 5 15IMH6
Lenovo Legion 5 15ITH6H
Lenovo Legion Pro 5
Lenovo Legion Pro 7
Lenovo LOQ
Lenovo LOQ 15AHP10
Lenovo LOQ 15APH8
Lenovo LOQ 15ARP10E
Lenovo LOQ 15ARP9
Lenovo LOQ 15IAX9
Lenovo LOQ 15IAX9E
Lenovo LOQ 15IRH8
Lenovo LOQ 15IRX10
Lenovo LOQ 15IRX9
Lenovo LOQ 17IRX10
Lenovo LOQ Essential 15IRX11
Lenovo ThinkPad P16S Gen3
Lenovo ThinkPad P16V Gen2
MSI Creator Z16
MSI CreatorPro M16
MSI Crosshair
MSI Crosshair 18 HX AI A2XW
MSI Cyborg 15 A13U
MSI Cyborg 15 A13VE
MSI Cyborg 17
MSI Katana 15
MSI Katana 17
MSI Prestige 14
MSI Raider GE68 HX 13V
MSI Stealth 17M
MSI Thin 15
MSI Thin GF63 11SC
MSI Thin GF63 12U
MSI Thin GF63 12UCX
MSI Thin GF63 12UDX
MSI Thin GF63 12V
MSI Vector 16 HX AI A2XW
MSI Vector GP68 HX 13V
YATAGAN SPIKE
YATAGAN VARSAK
